movie,genres,main_genre,subgenres,budget,release_month,release_year,production_budget,domestic_gross,foreign_gross,worldwide_gross,total_profit,total_profit_margin,director,birth_year,death_year
The Visit,"Horror,Mystery,Thriller",Horror,"['Mystery', 'Thriller']",mid,9,2015,5000000,65206105,33471711,98677816,93677816,94.93,M. Night Shyamalan,1970.0,
Pirates of the Caribbean: On Stranger Tides,"Action,Adventure,Fantasy",Action,"['Adventure', 'Fantasy']",high,5,2011,410600000,241063875,804600000,1045663875,635063875,60.73,Rob Marshall,1960.0,
Mary Poppins Returns,"Comedy,Family,Fantasy",Comedy,"['Family', 'Fantasy']",high,12,2018,130000000,171958438,169570080,341528518,211528518,61.94,Rob Marshall,1960.0,
Wuthering Heights,"Horror,Romance",Horror,['Romance'],mid,10,2012,8000000,100915,2620619,2721534,-5278466,-193.95,Elisaveta Abrahall,,
Weekend,"Drama,Romance",Drama,['Romance'],low,9,2011,190000,484592,1092993,1577585,1387585,87.96,Andrew Haigh,1973.0,
Lean on Pete,"Adventure,Drama",Adventure,['Drama'],mid,4,2018,8000000,1163056,1291971,2455027,-5544973,-225.86,Andrew Haigh,1973.0,
The Iceman,"Biography,Crime,Drama",Biography,"['Crime', 'Drama']",mid,5,2013,10000000,1930282,1693327,3623609,-6376391,-175.97,Ariel Vromen,1973.0,
Criminal,"Action,Crime,Drama",Action,"['Crime', 'Drama']",mid,4,2016,31500000,14708696,24062566,38771262,7271262,18.75,Ariel Vromen,1973.0,
Space Pirate Captain Harlock,"Animation,Sci-Fi",Animation,['Sci-Fi'],mid,12,2013,30000000,0,310985,310985,-29689015,-9546.77,William Winckler,1964.0,
Limitless,Documentary,Documentary,[],mid,3,2011,27000000,79249455,76315464,155564919,128564919,82.64,Vrinda Samartha,,
Miss Julie,"Drama,Romance",Drama,['Romance'],mid,5,2015,5500000,0,863895,863895,-4636105,-536.65,Mikael Berg,,
Red State,"Action,Crime,Horror",Action,"['Crime', 'Horror']",low,9,2011,4000000,1065429,918167,1983596,-2016404,-101.65,Kevin Smith,1970.0,
Cop Out,"Action,Comedy,Crime",Action,"['Comedy', 'Crime']",mid,2,2010,37000000,44875481,11034429,55909910,18909910,33.82,Kevin Smith,1970.0,
Tusk,"Comedy,Drama,Horror",Comedy,"['Drama', 'Horror']",low,9,2014,3000000,1821983,65571,1887554,-1112446,-58.94,Kevin Smith,1970.0,
Yoga Hosers,"Action,Comedy,Fantasy",Action,"['Comedy', 'Fantasy']",mid,9,2016,5000000,0,22958,22958,-4977042,-21678.9,Kevin Smith,1970.0,
Act of Valor,"Action,Adventure,Drama",Action,"['Adventure', 'Drama']",mid,2,2012,12000000,70012847,12484188,82497035,70497035,85.45,Scott Waugh,,
Need for Speed,"Action,Crime,Thriller",Action,"['Crime', 'Thriller']",high,3,2014,66000000,43568507,150601112,194169619,128169619,66.01,Scott Waugh,,
The Muppets,"Adventure,Comedy,Family",Adventure,"['Comedy', 'Family']",mid,11,2011,45000000,88625922,72346000,160971922,115971922,72.04,James Bobin,1972.0,
Muppets Most Wanted,"Adventure,Comedy,Crime",Adventure,"['Comedy', 'Crime']",high,3,2014,55000000,51178893,28133408,79312301,24312301,30.65,James Bobin,1972.0,
Alice Through the Looking Glass,"Adventure,Family,Fantasy",Adventure,"['Family', 'Fantasy']",high,5,2016,170000000,77042381,199885731,276928112,106928112,38.61,James Bobin,1972.0,
Tomorrowland,Documentary,Documentary,[],high,5,2015,170000000,93436322,113191196,206627518,36627518,17.73,Sarvnaz Alambeigi,,
Minions,"Adventure,Animation,Comedy",Adventure,"['Animation', 'Comedy']",high,7,2015,74000000,336045770,824290403,1160336173,1086336173,93.62,Kyle Balda,1971.0,
Despicable Me 3,"Adventure,Animation,Comedy",Adventure,"['Animation', 'Comedy']",high,6,2017,75000000,264624300,770103450,1034727750,959727750,92.75,Kyle Balda,1971.0,
Faster,"Action,Crime,Drama",Action,"['Crime', 'Drama']",mid,11,2010,24000000,23240020,12552925,35792945,11792945,32.95,George Tillman Jr.,1969.0,
The Longest Ride,"Drama,Romance",Drama,['Romance'],mid,4,2015,34000000,37446117,26356811,63802928,29802928,46.71,George Tillman Jr.,1969.0,
The Hate U Give,"Crime,Drama",Crime,['Drama'],mid,10,2018,23000000,29719483,5348182,35067665,12067665,34.41,George Tillman Jr.,1969.0,
Winnie Mandela,"Biography,Drama,History",Biography,"['Drama', 'History']",mid,9,2013,15000000,61847,0,61847,-14938153,-24153.4,Darrell Roodt,1962.0,
Sing,"Animation,Comedy,Family",Animation,"['Comedy', 'Family']",high,12,2016,75000000,270329045,364125744,634454789,559454789,88.18,Christophe Lourdelet,,
Book Club,"Comedy,Drama,Romance",Comedy,"['Drama', 'Romance']",mid,5,2018,10000000,68566296,22547387,91113683,81113683,89.02,Bill Holderman,,
In the Heart of the Sea,"Action,Adventure,Biography",Action,"['Adventure', 'Biography']",high,12,2015,100000000,25020758,64672551,89693309,-10306691,-11.49,Ron Howard,1954.0,
The Dilemma,"Comedy,Drama",Comedy,['Drama'],high,1,2011,70000000,48475290,22071575,70546865,546865,0.78,Ron Howard,1954.0,
Rush,"Action,Biography,Drama",Action,"['Biography', 'Drama']",mid,9,2013,38000000,26947624,71283215,98230839,60230839,61.32,Ron Howard,1954.0,
Solo: A Star Wars Story,"Action,Adventure,Fantasy",Action,"['Adventure', 'Fantasy']",high,5,2018,275000000,213767512,179383835,393151347,118151347,30.05,Ron Howard,1954.0,
The Purge,"Horror,Thriller",Horror,['Thriller'],low,6,2013,3000000,64473115,26793466,91266581,88266581,96.71,James DeMonaco,1969.0,
The Purge: Anarchy,"Action,Horror,Sci-Fi",Action,"['Horror', 'Sci-Fi']",mid,7,2014,9000000,71562550,39972331,111534881,102534881,91.93,James DeMonaco,1969.0,
