movie,genres,main_genre,subgenres,budget,release_month,release_year,production_budget,domestic_gross,foreign_gross,worldwide_gross,total_profit,total_profit_margin,director,birth_year,death_year
Trouble with the Curve,"Drama,Sport",Drama,['Sport'],high,9,2012,60000000,35763137,12055776,47818913,-12181087,-25.47,Robert Lorenz,,
The Sisterhood of Night,"Drama,Mystery,Thriller",Drama,"['Mystery', 'Thriller']",low,4,2015,1000000,6870,0,6870,-993130,-14456.04,Caryn Waechter,,
For Greater Glory: The True Story of Cristiada,"Drama,History,War",Drama,"['History', 'War']",mid,6,2012,12000000,5669081,4357174,10026255,-1973745,-19.69,Dean Wright,,
Detention of the Dead,"Action,Adventure,Comedy",Action,"['Adventure', 'Comedy']",low,6,2013,500000,1778,0,1778,-498222,-28021.48,Alex Craig Mann,,
3 Backyards,Drama,Drama,[],low,3,2011,300000,39475,0,39475,-260525,-659.97,Eric Mendelsohn,1964.0,
Little Boy,"Drama,History,War",Drama,"['History', 'War']",mid,4,2015,20000000,6485961,11283338,17769299,-2230701,-12.55,Alejandro Monteverde,1977.0,
The Warrior's Way,"Action,Fantasy,Western",Action,"['Fantasy', 'Western']",mid,12,2010,42000000,5666340,2847985,8514325,-33485675,-393.29,Sngmoo Lee,,
Just Wright,"Comedy,Romance,Sport",Comedy,"['Romance', 'Sport']",mid,5,2010,12000000,21540363,327302,21867665,9867665,45.12,Sanaa Hamri,,
Overboard,"Comedy,Romance",Comedy,['Romance'],mid,5,2018,12000000,50316123,35053707,85369830,73369830,85.94,Rob Greenberg,,
The Bourne Legacy,"Action,Adventure,Thriller",Action,"['Adventure', 'Thriller']",high,8,2012,125000000,113203870,167152050,280355920,155355920,55.41,Tony Gilroy,1956.0,
Everything Must Go,"Comedy,Drama",Comedy,['Drama'],mid,5,2011,5000000,2712131,108879,2821010,-2178990,-77.24,Dan Rush,,
Prom,"Comedy,Drama,Family",Comedy,"['Drama', 'Family']",mid,4,2011,8000000,10130219,632964,10763183,2763183,25.67,Joe Nussbaum,1973.0,
Dear White People,"Comedy,Drama,Romance",Comedy,"['Drama', 'Romance']",low,10,2014,1250000,4404154,999617,5403771,4153771,76.87,Justin Simien,,
A Walk Among the Tombstones,"Action,Crime,Drama",Action,"['Crime', 'Drama']",mid,9,2014,28000000,26017685,36090902,62108587,34108587,54.92,Scott Frank,1960.0,
Furry Vengeance,"Comedy,Family",Comedy,['Family'],mid,4,2010,35000000,17630465,21709712,39340177,4340177,11.03,Roger Kumble,1966.0,
MacGruber,"Action,Comedy,Romance",Action,"['Comedy', 'Romance']",mid,5,2010,10000000,8525600,104295,8629895,-1370105,-15.88,Jorma Taccone,1977.0,
The Big Wedding,"Comedy,Drama,Romance",Comedy,"['Drama', 'Romance']",mid,4,2013,32500000,21819348,26606623,48425971,15925971,32.89,Justin Zackham,,
300: Rise of an Empire,"Action,Fantasy,War",Action,"['Fantasy', 'War']",high,3,2014,110000000,106580051,224200000,330780051,220780051,66.75,Noam Murro,1961.0,
Martha Marcy May Marlene,"Drama,Mystery,Thriller",Drama,"['Mystery', 'Thriller']",low,10,2011,1000000,2981038,2457873,5438911,4438911,81.61,Sean Durkin,,
Blood Done Sign My Name,Drama,Drama,[],mid,2,2010,10000000,109383,0,109383,-9890617,-9042.19,Jeb Stuart,1956.0,
N-Secure,"Crime,Drama,Thriller",Crime,"['Drama', 'Thriller']",low,10,2010,1600000,2595644,0,2595644,995644,38.36,David M. Matthews,,
The Pirates! Band of Misfits,"Adventure,Animation,Comedy",Adventure,"['Animation', 'Comedy']",high,4,2012,55000000,31051126,105092479,136143605,81143605,59.6,Peter Lord,1953.0,
No Good Deed,"Action,Crime,Drama",Action,"['Crime', 'Drama']",mid,9,2014,13200000,52543632,1779578,54323210,41123210,75.7,Sam Miller,1962.0,
The Back-up Plan,"Comedy,Romance",Comedy,['Romance'],mid,4,2010,35000000,37490007,37791172,75281179,40281179,53.51,Alan Poul,,
Mortal Engines,"Action,Adventure,Fantasy",Action,"['Adventure', 'Fantasy']",high,12,2018,100000000,15951040,69336377,85287417,-14712583,-17.25,Christian Rivers,,
Carrie,"Drama,Horror",Drama,['Horror'],mid,10,2013,30000000,35266619,47142901,82409520,52409520,63.6,Kimberly Peirce,1967.0,
Poltergeist,"Horror,Thriller",Horror,['Thriller'],mid,5,2015,35000000,47425125,48287944,95713069,60713069,63.43,Gil Kenan,1976.0,
Killer Elite,"Action,Crime,Thriller",Action,"['Crime', 'Thriller']",high,9,2011,70000000,25124986,40284060,65409046,-4590954,-7.02,Gary McKendry,,
When the Game Stands Tall,"Drama,Family,Sport",Drama,"['Family', 'Sport']",mid,8,2014,15000000,30127963,10949,30138912,15138912,50.23,Thomas Carter,1953.0,
Sex and the City 2,"Comedy,Drama,Romance",Comedy,"['Drama', 'Romance']",high,5,2010,95000000,95347692,199333086,294680778,199680778,67.76,Michael Patrick King,1954.0,
House at the End of the Street,"Drama,Horror,Thriller",Drama,"['Horror', 'Thriller']",mid,9,2012,6900000,31611916,12492066,44103982,37203982,84.36,Mark Tonderai,,
Yogi Bear,"Adventure,Animation,Comedy",Adventure,"['Animation', 'Comedy']",high,12,2010,80000000,100246011,104528679,204774690,124774690,60.93,Eric Brevig,1957.0,
Under the Skin,"Drama,Horror,Sci-Fi",Drama,"['Horror', 'Sci-Fi']",mid,4,2014,13300000,2614251,4615682,7229933,-6070067,-83.96,Jonathan Glazer,1965.0,
A Star is Born,"Documentary,Music",Documentary,['Music'],mid,10,2018,36000000,215288866,218160705,433449571,397449571,91.69,Vanja Kovacevic,,
The Best of Me,"Drama,Romance",Drama,['Romance'],mid,10,2014,26000000,26766213,14293205,41059418,15059418,36.68,Michael Hoffman,1956.0,
Moneyball,"Biography,Drama,Sport",Biography,"['Drama', 'Sport']",high,9,2011,50000000,75605492,35695343,111300835,61300835,55.08,Bennett Miller,1966.0,
Bleed for This,"Biography,Drama,Sport",Biography,"['Drama', 'Sport']",mid,11,2016,16000000,5083906,1520020,6603926,-9396074,-142.28,Ben Younger,1972.0,
Khumba,"Adventure,Animation,Family",Adventure,"['Animation', 'Family']",mid,12,2013,15000000,0,20898221,20898221,5898221,28.22,Anthony Silverston,,
Sea Rex 3D: Journey to a Prehistoric World,Documentary,Documentary,[],mid,5,2010,5000000,6096582,10418621,16515203,11515203,69.72,Pascal Vuong,,
Banshee Chapter,"Horror,Sci-Fi,Thriller",Horror,"['Sci-Fi', 'Thriller']",low,1,2014,950000,0,78122,78122,-871878,-1116.05,Blair Erickson,,
The Cold Light of Day,"Action,Thriller",Action,['Thriller'],mid,9,2012,20000000,3763583,21597623,25361206,5361206,21.14,Mabrouk El Mechri,1976.0,
Same Kind of Different as Me,"Biography,Drama",Biography,['Drama'],mid,10,2017,6500000,6423605,0,6423605,-76395,-1.19,Michael Carney,,
Redemption Road,Drama,Drama,[],low,8,2011,2300000,29384,0,29384,-2270616,-7727.39,Mario Van Peebles,1957.0,
USS Indianapolis: Men of Courage,"Action,Drama,History",Action,"['Drama', 'History']",mid,11,2016,40000000,0,1663785,1663785,-38336215,-2304.16,Mario Van Peebles,1957.0,
A Walk in the Woods,"Adventure,Biography,Comedy",Adventure,"['Biography', 'Comedy']",mid,9,2015,8000000,29499394,7619964,37119358,29119358,78.45,Ken Kwapis,1957.0,
Big Miracle,"Biography,Drama,Family",Biography,"['Drama', 'Family']",mid,2,2012,40000000,20157300,5111380,25268680,-14731320,-58.3,Ken Kwapis,1957.0,
Mars Needs Moms,"Adventure,Animation,Family",Adventure,"['Animation', 'Family']",high,3,2011,150000000,21392758,18157000,39549758,-110450242,-279.27,Simon Wells,1961.0,
Drive Angry,"Action,Fantasy,Thriller",Action,"['Fantasy', 'Thriller']",high,2,2011,50000000,10721033,30321550,41042583,-8957417,-21.82,Patrick Lussier,,
The Way Way Back,"Comedy,Drama",Comedy,['Drama'],mid,7,2013,5000000,21502690,5351120,26853810,21853810,81.38,Jim Rash,1971.0,
Point Break,"Action,Crime,Sport",Action,"['Crime', 'Sport']",high,12,2015,100000000,28782481,97922110,126704591,26704591,21.08,Ericson Core,,
The Great Gatsby,"Drama,Romance",Drama,['Romance'],high,5,2013,190000000,144840419,206200000,351040419,161040419,45.88,Baz Luhrmann,1962.0,
Two Night Stand,"Comedy,Romance",Comedy,['Romance'],low,9,2014,1600000,15600,852481,868081,-731919,-84.31,Max Nichols,1973.0,
Love the Coopers,"Comedy,Fantasy,Romance",Comedy,"['Fantasy', 'Romance']",mid,11,2015,18000000,26302731,15924759,42227490,24227490,57.37,Jessie Nelson,,
Creative Control,"Drama,Sci-Fi",Drama,['Sci-Fi'],low,3,2016,1000000,63014,0,63014,-936986,-1486.95,Benjamin Dickinson,,
Samsara,"Documentary,Music",Documentary,['Music'],low,8,2012,4000000,2672413,3294258,5966671,1966671,32.96,Ron Fricke,,
Den of Thieves,"Action,Crime,Drama",Action,"['Crime', 'Drama']",mid,1,2018,30000000,44947622,35183769,80131391,50131391,62.56,Christian Gudegast,1970.0,
The Last Song,"Drama,Music,Romance",Drama,"['Music', 'Romance']",mid,3,2010,20000000,62950384,29728564,92678948,72678948,78.42,Julie Anne Robinson,,
One for the Money,"Action,Comedy,Crime",Action,"['Comedy', 'Crime']",mid,1,2012,42000000,26414527,9782694,36197221,-5802779,-16.03,Julie Anne Robinson,,
Holy Motors,"Drama,Fantasy",Drama,['Fantasy'],low,10,2012,4000000,641054,3589372,4230426,230426,5.45,Leos Carax,1960.0,
Hacksaw Ridge,"Biography,Drama,History",Biography,"['Drama', 'History']",mid,11,2016,40000000,67209615,101695067,168904682,128904682,76.32,Mel Gibson,1956.0,
Ouija,"Horror,Mystery,Thriller",Horror,"['Mystery', 'Thriller']",mid,10,2014,5000000,50856010,52444622,103300632,98300632,95.16,Stiles White,,
Submarine,"Comedy,Drama,Romance",Comedy,"['Drama', 'Romance']",low,6,2011,1900000,467602,4114335,4581937,2681937,58.53,Richard Ayoade,1977.0,
Entourage,Comedy,Comedy,[],mid,6,2015,30000000,32363404,14075134,46438538,16438538,35.4,Doug Ellin,1968.0,
Sound of My Voice,"Drama,Mystery,Sci-Fi",Drama,"['Mystery', 'Sci-Fi']",low,4,2012,135000,408015,21433,429448,294448,68.56,Zal Batmanglij,,
The East,"Adventure,Drama,Thriller",Adventure,"['Drama', 'Thriller']",mid,5,2013,6500000,2274649,753307,3027956,-3472044,-114.67,Zal Batmanglij,,
Triple 9,"Crime,Thriller",Crime,['Thriller'],mid,2,2016,20000000,12639297,13304495,25943792,5943792,22.91,John Hillcoat,1961.0,
Lowriders,"Adventure,Crime,Drama",Adventure,"['Crime', 'Drama']",low,5,2017,916000,6179955,8466,6188421,5272421,85.2,Ricardo de Montreuil,1974.0,
Shark Night 3D,"Horror,Thriller",Horror,['Thriller'],mid,9,2011,25000000,18877153,0,18877153,-6122847,-32.44,David R. Ellis,1952.0,2013.0
Drunk Wedding,Comedy,Comedy,[],low,5,2015,600000,3301,0,3301,-596699,-18076.31,Nick Weiss,,
John Carter,"Action,Adventure,Sci-Fi",Action,"['Adventure', 'Sci-Fi']",high,3,2012,275000000,73058679,209719421,282778100,7778100,2.75,Andrew Stanton,1965.0,
Finding Dory,"Adventure,Animation,Comedy",Adventure,"['Animation', 'Comedy']",high,6,2016,200000000,486295561,534919632,1021215193,821215193,80.42,Angus MacLane,,
Song One,"Drama,Music",Drama,['Music'],mid,1,2015,6000000,32251,404838,437089,-5562911,-1272.72,Kate Barker-Froyland,,
The Rum Diary,"Comedy,Drama",Comedy,['Drama'],mid,10,2011,45000000,13109815,8434917,21544732,-23455268,-108.87,Bruce Robinson,1946.0,
Brighton Rock,"Crime,Drama,Thriller",Crime,"['Drama', 'Thriller']",mid,8,2011,11000000,229653,0,229653,-10770347,-4689.84,Rowan Joffe,1972.0,
Before I Go to Sleep,"Drama,Horror,Mystery",Drama,"['Horror', 'Mystery']",mid,10,2014,22000000,3242457,16321122,19563579,-2436421,-12.45,Rowan Joffe,1972.0,
Hesher,"Comedy,Crime,Drama",Comedy,"['Crime', 'Drama']",mid,5,2011,7000000,382946,0,382946,-6617054,-1727.93,Spencer Susser,,
The Ghastly Love of Johnny X,"Comedy,Fantasy,Musical",Comedy,"['Fantasy', 'Musical']",low,10,2012,2000000,2436,0,2436,-1997564,-82001.81,Paul Bunnell,1963.0,
Dirty Grandpa,Comedy,Comedy,[],mid,1,2016,11500000,35593113,69485336,105078449,93578449,89.06,Dan Mazer,1971.0,
Grabbers,"Comedy,Horror,Sci-Fi",Comedy,"['Horror', 'Sci-Fi']",mid,7,2013,5300000,0,440821,440821,-4859179,-1102.3,Jon Wright,1971.0,
Percy Jackson & the Olympians: The Lightning Thief,"Adventure,Family,Fantasy",Adventure,"['Family', 'Fantasy']",high,2,2010,95000000,88768303,134282571,223050874,128050874,57.41,Chris Columbus,1958.0,
Conan the Barbarian,"Action,Adventure,Fantasy",Action,"['Adventure', 'Fantasy']",high,8,2011,90000000,21295021,42061112,63356133,-26643867,-42.05,Marcus Nispel,1963.0,
The Kids Are All Right,"Comedy,Drama,Romance",Comedy,"['Drama', 'Romance']",low,7,2010,4000000,20811365,15464104,36275469,32275469,88.97,Lisa Cholodenko,1964.0,
The Wedding Ringer,Comedy,Comedy,[],mid,1,2015,23000000,64460211,15711385,80171596,57171596,71.31,Jeremy Garelick,1975.0,
Broken City,"Crime,Drama,Thriller",Crime,"['Drama', 'Thriller']",mid,1,2013,35000000,19701164,14778881,34480045,-519955,-1.51,Allen Hughes,1972.0,
A Nightmare on Elm Street,"Crime,Drama,Horror",Crime,"['Drama', 'Horror']",mid,4,2010,35000000,63075011,54654610,117729621,82729621,70.27,Samuel Bayer,1962.0,
10 Cloverfield Lane,"Drama,Horror,Mystery",Drama,"['Horror', 'Mystery']",mid,3,2016,5000000,72082999,36203423,108286422,103286422,95.38,Dan Trachtenberg,,
12 Strong,"Action,Drama,History",Action,"['Drama', 'History']",mid,1,2018,35000000,45819713,25298665,71118378,36118378,50.79,Nicolai Fuglsig,1972.0,
Chernobyl Diaries,"Horror,Mystery,Thriller",Horror,"['Mystery', 'Thriller']",low,5,2012,1000000,18119640,24292081,42411721,41411721,97.64,Bradley Parker,,
Antiviral,"Horror,Sci-Fi,Thriller",Horror,"['Sci-Fi', 'Thriller']",low,4,2013,3100000,0,123407,123407,-2976593,-2412.01,Brandon Cronenberg,,
Casino Jack,"Biography,Comedy,Crime",Biography,"['Comedy', 'Crime']",mid,12,2010,12500000,2039869,232317,2272186,-10227814,-450.13,George Hickenlooper,1963.0,2010.0
Red Dawn,"Action,Sci-Fi,Thriller",Action,"['Sci-Fi', 'Thriller']",high,11,2012,65000000,44806783,3357367,48164150,-16835850,-34.96,Dan Bradley,,
Man on a Ledge,"Action,Adventure,Crime",Action,"['Adventure', 'Crime']",mid,1,2012,42000000,18620000,31001440,49621440,7621440,15.36,Asger Leth,,
The Dark Tower,"Action,Adventure,Fantasy",Action,"['Adventure', 'Fantasy']",high,8,2017,60000000,50701325,62760202,113461527,53461527,47.12,Nikolaj Arcel,1972.0,
Ghost in the Shell,"Action,Drama,Sci-Fi",Action,"['Drama', 'Sci-Fi']",high,3,2017,110000000,40563557,127347133,167910690,57910690,34.49,Rupert Sanders,1971.0,
Snow White and the Huntsman,"Action,Adventure,Drama",Action,"['Adventure', 'Drama']",high,6,2012,170000000,155136755,245884991,401021746,231021746,57.61,Rupert Sanders,1971.0,
Table 19,"Comedy,Drama,Romance",Comedy,"['Drama', 'Romance']",mid,3,2017,5000000,3614896,1005503,4620399,-379601,-8.22,Jeffrey Blitz,1969.0,
Bucky Larson: Born to Be a Star,Comedy,Comedy,[],mid,9,2011,10000000,2529395,0,2529395,-7470605,-295.35,Tom Brady,,
Skyline,"Action,Sci-Fi,Thriller",Action,"['Sci-Fi', 'Thriller']",mid,11,2010,10000000,21416355,46848618,68264973,58264973,85.35,Greg Strause,1975.0,
Killer Joe,"Crime,Drama,Thriller",Crime,"['Drama', 'Thriller']",mid,7,2012,10000000,1291645,3367465,4659110,-5340890,-114.63,William Friedkin,1935.0,
Escape from Tomorrow,"Drama,Fantasy,Horror",Drama,"['Fantasy', 'Horror']",low,10,2013,650000,171962,0,171962,-478038,-277.99,Randy Moore,,
23 Blast,"Drama,Family,Sport",Drama,"['Family', 'Sport']",low,10,2014,1000000,549185,0,549185,-450815,-82.09,Dylan Baker,1959.0,
The 5th Wave,"Action,Adventure,Drama",Action,"['Adventure', 'Drama']",mid,1,2016,38000000,34912982,76423416,111336398,73336398,65.87,J Blakeson,,
What's Your Number?,"Comedy,Romance",Comedy,['Romance'],mid,9,2011,20000000,14011084,16152701,30163785,10163785,33.7,Mark Mylod,,
The Iron Lady,"Biography,Drama",Biography,['Drama'],mid,1,2012,14000000,29959436,85632668,115592104,101592104,87.89,Phyllida Lloyd,1957.0,
Cars 2,"Adventure,Animation,Comedy",Adventure,"['Animation', 'Comedy']",high,6,2011,200000000,191450875,368704508,560155383,360155383,64.3,Bradford Lewis,,
Vamps,"Comedy,Horror,Thriller",Comedy,"['Horror', 'Thriller']",mid,11,2012,16000000,3361,91451,94812,-15905188,-16775.5,Marcus Dreeke,,
Cirque du Soleil: Worlds Away,Fantasy,Fantasy,[],mid,12,2012,25000000,12512862,15500000,28012862,3012862,10.76,Andrew Adamson,1966.0,
Maleficent,"Action,Adventure,Family",Action,"['Adventure', 'Family']",high,5,2014,180000000,241407328,517129407,758536735,578536735,76.27,Robert Stromberg,,
Oz the Great and Powerful,"Adventure,Family,Fantasy",Adventure,"['Family', 'Fantasy']",high,3,2013,200000000,234770996,255588055,490359051,290359051,59.21,Sam Raimi,1959.0,
The Change-Up,"Comedy,Fantasy",Comedy,['Fantasy'],high,8,2011,52000000,37243418,38753649,75997067,23997067,31.58,David Dobkin,1969.0,
The Boxtrolls,"Adventure,Animation,Comedy",Adventure,"['Animation', 'Comedy']",high,9,2014,60000000,50837305,61108946,111946251,51946251,46.4,Anthony Stacchi,,
Mr. Peabody & Sherman,"Adventure,Animation,Comedy",Adventure,"['Animation', 'Comedy']",high,3,2014,145000000,111506430,158300000,269806430,124806430,46.26,Rob Minkoff,1962.0,
Ca$h,"Crime,Thriller",Crime,['Thriller'],mid,3,2010,7000000,46488,0,46488,-6953512,-14957.65,Stephen Milburn Anderson,1947.0,2015.0
Draft Day,"Drama,Sport",Drama,['Sport'],mid,4,2014,25000000,28842237,1005243,29847480,4847480,16.24,Ivan Reitman,1946.0,
Riddick,"Action,Adventure,Sci-Fi",Action,"['Adventure', 'Sci-Fi']",mid,9,2013,38000000,42025135,52738623,94763758,56763758,59.9,David Twohy,1955.0,
The Age of Adaline,"Drama,Fantasy,Romance",Drama,"['Fantasy', 'Romance']",mid,4,2015,30000000,42629776,26354760,68984536,38984536,56.51,Lee Toland Krieger,,
The Young and Prodigious T.S. Spivet,"Action,Adventure,Comedy",Action,"['Adventure', 'Comedy']",mid,7,2015,33000000,176847,180840,357687,-32642313,-9125.94,Jean-Pierre Jeunet,1953.0,
Kill the Messenger,"Biography,Crime,Drama",Biography,"['Crime', 'Drama']",mid,10,2014,5000000,2450846,4205859,6656705,1656705,24.89,Michael Cuesta,1963.0,
American Assassin,"Action,Thriller",Action,['Thriller'],high,9,2017,63000000,36249674,32060466,68310140,5310140,7.77,Michael Cuesta,1963.0,
Eddie: The Sleepwalking Cannibal,"Comedy,Horror",Comedy,['Horror'],low,4,2013,1400000,1632,0,1632,-1398368,-85684.31,Boris Rodriguez,,
Zambezia,"Adventure,Animation,Comedy",Adventure,"['Animation', 'Comedy']",mid,12,2012,20000000,0,34454336,34454336,14454336,41.95,Wayne Thornley,,
Area 51,"Horror,Sci-Fi,Thriller",Horror,"['Sci-Fi', 'Thriller']",mid,5,2015,5000000,7556,0,7556,-4992444,-66072.58,Oren Peli,,
RED 2,"Action,Comedy,Crime",Action,"['Comedy', 'Crime']",high,7,2013,84000000,53262560,88244795,141507355,57507355,40.64,Dean Parisot,,
Jab Tak Hai Jaan,"Drama,Romance",Drama,['Romance'],mid,11,2012,9200000,3047539,2759127,5806666,-3393334,-58.44,Yash Chopra,1932.0,2012.0
About Time,"Comedy,Drama,Fantasy",Comedy,"['Drama', 'Fantasy']",mid,11,2013,12000000,15323921,73985257,89309178,77309178,86.56,Richard Curtis,1956.0,
Wild Target,"Action,Comedy,Crime",Action,"['Comedy', 'Crime']",mid,10,2010,8000000,109338,5204856,5314194,-2685806,-50.54,Jonathan Lynn,1943.0,
Norm of the North,"Adventure,Animation,Comedy",Adventure,"['Animation', 'Comedy']",mid,1,2016,18000000,17062499,13473161,30535660,12535660,41.05,Trevor Wall,,
Extraordinary Measures,Drama,Drama,[],mid,1,2010,31000000,12482741,3344243,15826984,-15173016,-95.87,Tom Vaughan,1969.0,
The Book Thief,"Drama,War",Drama,['War'],mid,11,2013,19000000,21488481,54598230,76086711,57086711,75.03,Brian Percival,,
Marmaduke,"Comedy,Family",Comedy,['Family'],high,6,2010,50000000,33644788,56251142,89895930,39895930,44.38,Tom Dey,1965.0,
"I, Frankenstein","Action,Fantasy,Horror",Action,"['Fantasy', 'Horror']",high,1,2014,65000000,19075290,55500000,74575290,9575290,12.84,Stuart Beattie,,
I Want Your Money,Documentary,Documentary,[],low,10,2010,400000,433588,0,433588,33588,7.75,Ray Griggs,,
That Awkward Moment,"Comedy,Romance",Comedy,['Romance'],mid,1,2014,8000000,26068955,27000000,53068955,45068955,84.93,Tom Gormican,,
Windsor Drive,"Mystery,Thriller",Mystery,['Thriller'],low,8,2015,850000,3256,0,3256,-846744,-26005.65,Natalie Bible',1983.0,
Fifty Shades of Grey,"Drama,Romance,Thriller",Drama,"['Romance', 'Thriller']",mid,2,2015,40000000,166167230,404830871,570998101,530998101,92.99,Sam Taylor-Johnson,1967.0,
Takers,"Action,Crime,Thriller",Action,"['Crime', 'Thriller']",mid,8,2010,32000000,57744720,12842548,70587268,38587268,54.67,John Luessenhop,,
Texas Chainsaw 3D,"Horror,Thriller",Horror,['Thriller'],mid,1,2013,20000000,34341945,13324068,47666013,27666013,58.04,John Luessenhop,,
Standing Ovation,Musical,Musical,[],mid,7,2010,5600000,531806,0,531806,-5068194,-953.02,Stewart Raffill,1942.0,
Open Road,"Action,Drama,Thriller",Action,"['Drama', 'Thriller']",low,5,2013,3000000,0,47469,47469,-2952531,-6219.91,Marcio Garcia,1970.0,
L!fe Happens,Comedy,Comedy,[],low,4,2012,930000,30905,0,30905,-899095,-2909.22,Kat Coiro,,
Quartet,"Comedy,Drama",Comedy,['Drama'],mid,1,2013,11000000,18388357,37790578,56178935,45178935,80.42,Dustin Hoffman,1937.0,
"Big Mommas: Like Father, Like Son","Action,Comedy,Crime",Action,"['Comedy', 'Crime']",mid,2,2011,32000000,37915414,44417036,82332450,50332450,61.13,John Whitesell,,
Darling Companion,"Comedy,Drama,Romance",Comedy,"['Drama', 'Romance']",mid,4,2012,12000000,793352,406994,1200346,-10799654,-899.71,Lawrence Kasdan,1949.0,
Desert Dancer,"Biography,Drama,Music",Biography,"['Drama', 'Music']",low,4,2015,4000000,155271,441064,596335,-3403665,-570.76,Richard Raymond,1977.0,
Rings,"Drama,Horror,Mystery",Drama,"['Horror', 'Mystery']",mid,2,2017,25000000,27793018,55124265,82917283,57917283,69.85,F. Javier Gutiérrez,1973.0,
The Man Who Knew Infinity,"Biography,Drama",Biography,['Drama'],mid,4,2016,10000000,3877922,8504200,12382122,2382122,19.24,Matt Brown,,
Jack and Jill,Comedy,Comedy,[],high,11,2011,79000000,74158157,76361060,150519217,71519217,47.52,Dennis Dugan,1946.0,
Grown Ups,Comedy,Comedy,[],high,6,2010,75000000,162001186,110222244,272223430,197223430,72.45,Dennis Dugan,1946.0,
Grown Ups 2,Comedy,Comedy,[],high,7,2013,80000000,133668525,113355283,247023808,167023808,67.61,Dennis Dugan,1946.0,
Aloha,"Comedy,Drama,Romance",Comedy,"['Drama', 'Romance']",mid,5,2015,37000000,21052030,4335061,25387091,-11612909,-45.74,Cameron Crowe,1957.0,
We Bought a Zoo,"Comedy,Drama,Family",Comedy,"['Drama', 'Family']",high,12,2011,50000000,75624550,43104523,118729073,68729073,57.89,Cameron Crowe,1957.0,
Barney's Version,"Comedy,Drama",Comedy,['Drama'],mid,1,2011,30000000,7502560,1343015,8845575,-21154425,-239.15,Richard J. Lewis,,
Zulu,"Crime,Drama,Thriller",Crime,"['Drama', 'Thriller']",mid,12,2013,16000000,0,1844228,1844228,-14155772,-767.57,Jérôme Salle,1971.0,
The Face of Love,"Drama,Mystery,Romance",Drama,"['Mystery', 'Romance']",low,3,2014,4000000,385069,773808,1158877,-2841123,-245.16,Arie Posin,,
Dredd,"Action,Crime,Sci-Fi",Action,"['Crime', 'Sci-Fi']",mid,9,2012,45000000,13414714,28052892,41467606,-3532394,-8.52,Pete Travis,,
"Jeff, Who Lives at Home","Comedy,Drama",Comedy,['Drama'],mid,3,2012,10000000,4269426,438701,4708127,-5291873,-112.4,Mark Duplass,1976.0,
She's Out of My League,"Comedy,Romance",Comedy,['Romance'],mid,3,2010,20000000,32010860,16670117,48680977,28680977,58.92,Jim Field Smith,1979.0,
The Lucky One,"Drama,Romance",Drama,['Romance'],mid,4,2012,25000000,60457138,36176695,96633833,71633833,74.13,Scott Hicks,1953.0,
Blue Like Jazz,"Comedy,Drama",Comedy,['Drama'],low,4,2012,1200000,595018,0,595018,-604982,-101.67,Steve Taylor,1957.0,
The Woman in Black,"Drama,Fantasy,Horror",Drama,"['Fantasy', 'Horror']",mid,2,2012,15000000,54333290,74622608,128955898,113955898,88.37,James Watkins,1978.0,
My Soul to Take,"Horror,Mystery,Thriller",Horror,"['Mystery', 'Thriller']",mid,10,2010,25000000,14744435,1983035,16727470,-8272530,-49.45,Wes Craven,1939.0,2015.0
Scream 4,"Horror,Mystery",Horror,['Mystery'],mid,4,2011,40000000,38180928,57808662,95989590,55989590,58.33,Wes Craven,1939.0,2015.0
Immortals,"Action,Drama,Fantasy",Action,"['Drama', 'Fantasy']",high,11,2011,75000000,83504017,128058418,211562435,136562435,64.55,Tarsem Singh,1961.0,
Mirror Mirror,"Adventure,Comedy,Drama",Adventure,"['Comedy', 'Drama']",high,3,2012,85000000,64935167,108678315,173613482,88613482,51.04,Tarsem Singh,1961.0,
The History of Love,"Drama,Romance,War",Drama,"['Romance', 'War']",mid,11,2016,20000000,0,476624,476624,-19523376,-4096.18,Radu Mihaileanu,1958.0,
Gunless,"Action,Comedy,Drama",Action,"['Comedy', 'Drama']",mid,4,2010,9900000,458054,0,458054,-9441946,-2061.32,William Phillips,,
Lockout,"Action,Sci-Fi,Thriller",Action,"['Sci-Fi', 'Thriller']",mid,4,2012,20000000,14326865,19616184,33943049,13943049,41.08,Steve Saint Leger,,
Anomalisa,"Animation,Comedy,Drama",Animation,"['Comedy', 'Drama']",mid,12,2015,8000000,3759286,1946882,5706168,-2293832,-40.2,Charlie Kaufman,1958.0,
Trespass,"Crime,Drama,Thriller",Crime,"['Drama', 'Thriller']",mid,10,2011,35000000,16816,769716,786532,-34213468,-4349.91,Joel Schumacher,1939.0,
Tracker,"Action,Adventure,Drama",Action,"['Adventure', 'Drama']",mid,12,2011,6500000,0,3149,3149,-6496851,-206314.73,Ian Sharp,1946.0,
Jonah Hex,"Action,Drama,Fantasy",Action,"['Drama', 'Fantasy']",mid,6,2010,47000000,10547117,475579,11022696,-35977304,-326.39,Jimmy Hayward,,
Free Birds,"Adventure,Animation,Comedy",Adventure,"['Animation', 'Comedy']",high,11,2013,55000000,55750480,54636592,110387072,55387072,50.18,Jimmy Hayward,,
The To Do List,"Comedy,Romance",Comedy,['Romance'],low,7,2013,1500000,3491669,637159,4128828,2628828,63.67,Maggie Carey,1975.0,
