movie,genres,main_genre,subgenres,release_month,release_year,budget,production_budget,domestic_gross,foreign_gross,worldwide_gross,total_profit,ROI
Sanctum,"Adventure,Drama,Thriller",Adventure,"['Drama', 'Thriller']",2,2011,mid,30000000,23209310,85747788,108957098,78957098,363.1903266666667
Snitch,"Action,Drama,Thriller",Action,"['Drama', 'Thriller']",2,2013,mid,15000000,42930462,14977272,57907734,42907734,386.05156
The Wedding Ringer,Comedy,Comedy,[],1,2015,mid,23000000,64460211,15711385,80171596,57171596,348.57215652173915
The Switch,"Comedy,Drama,Romance",Comedy,"['Drama', 'Romance']",8,2010,mid,19000000,27758465,22100000,49858465,30858465,262.4129736842105
Letters to Juliet,"Adventure,Comedy,Drama",Adventure,"['Comedy', 'Drama']",5,2010,mid,30000000,53032453,29116085,82148538,52148538,273.82846
How to Train Your Dragon,"Action,Adventure,Animation",Action,"['Adventure', 'Animation']",3,2010,high,165000000,217581232,277289760,494870992,329870992,299.9218133333333
Shrek Forever After,"Adventure,Animation,Comedy",Adventure,"['Animation', 'Comedy']",5,2010,high,165000000,238736787,517507886,756244673,591244673,458.3301048484849
The Hobbit: An Unexpected Journey,"Adventure,Family,Fantasy",Adventure,"['Family', 'Fantasy']",12,2012,high,250000000,303003568,714000000,1017003568,767003568,406.80142720000003
The Legend of Tarzan,"Action,Adventure,Drama",Action,"['Adventure', 'Drama']",7,2016,high,180000000,126643061,222258964,348902025,168902025,193.83445833333332
Rabbit Hole,Drama,Drama,[],12,2010,mid,5000000,2229058,3975976,6205034,1205034,124.10068000000001
The Last Airbender,"Action,Adventure,Family",Action,"['Adventure', 'Family']",7,2010,high,150000000,131772187,187941694,319713881,169713881,213.14258733333332
Salt,"Action,Mystery,Thriller",Action,"['Mystery', 'Thriller']",7,2010,high,130000000,118311368,172339126,290650494,160650494,223.57730307692307
Source Code,"Action,Drama,Sci-Fi",Action,"['Drama', 'Sci-Fi']",4,2011,mid,32000000,54712227,85716272,140428499,108428499,438.839059375
Black Swan,"Drama,Thriller",Drama,['Thriller'],12,2010,mid,13000000,106954678,224312032,331266710,318266710,2548.205461538462
Green Zone,"Action,Drama,Thriller",Action,"['Drama', 'Thriller']",3,2010,high,100000000,35497337,62025683,97523020,-2476980,97.52302
The Amazing Spider-Man,"Action,Adventure,Sci-Fi",Action,"['Adventure', 'Sci-Fi']",7,2012,high,220000000,262030663,495859604,757890267,537890267,344.4955759090909
The Killer Inside Me,"Crime,Drama,Horror",Crime,"['Drama', 'Horror']",6,2010,mid,13000000,217277,3400000,3617277,-9382723,27.82520769230769
The Sorcerer's Apprentice,"Action,Adventure,Family",Action,"['Adventure', 'Family']",7,2010,high,160000000,63150991,154835329,217986320,57986320,136.24145000000001
The Fighter,"Biography,Drama,Sport",Biography,"['Drama', 'Sport']",12,2010,mid,11000000,93617009,35645379,129262388,118262388,1175.112618181818
Little Fockers,"Comedy,Romance",Comedy,['Romance'],12,2010,high,100000000,148438600,162211974,310650574,210650574,310.650574
Justice League,"Action,Adventure,Fantasy",Action,"['Adventure', 'Fantasy']",11,2017,high,300000000,229024295,426920914,655945209,355945209,218.648403
Sucker Punch,"Action,Adventure,Fantasy",Action,"['Adventure', 'Fantasy']",3,2011,high,75000000,36392502,53365887,89758389,14758389,119.677852
Lottery Ticket,Comedy,Comedy,[],8,2010,mid,17000000,24719879,0,24719879,7719879,145.41105294117648
The Chronicles of Narnia: The Voyage of the Dawn Treader,"Adventure,Family,Fantasy",Adventure,"['Family', 'Fantasy']",12,2010,high,155000000,104386950,313800000,418186950,263186950,269.7980322580645
The Adventures of Tintin,"Action,Adventure,Animation",Action,"['Adventure', 'Animation']",12,2011,high,130000000,77591831,296402120,373993951,243993951,287.68765461538464
Machete,"Action,Crime,Thriller",Action,"['Crime', 'Thriller']",9,2010,mid,12500000,26593646,19777324,46370970,33870970,370.96776
Dear John,"Drama,Romance,War",Drama,"['Romance', 'War']",2,2010,mid,25000000,80014842,62018667,142033509,117033509,568.134036
The Green Hornet,"Action,Comedy,Crime",Action,"['Comedy', 'Crime']",1,2011,high,110000000,98780042,130375461,229155503,119155503,208.32318454545455
Hanna,"Action,Drama,Thriller",Action,"['Drama', 'Thriller']",4,2011,mid,30000000,40259119,25084575,65343694,35343694,217.81231333333335
The Wolf of Wall Street,"Biography,Crime,Drama",Biography,"['Crime', 'Drama']",12,2013,high,100000000,116900694,272969720,389870414,289870414,389.870414
Straw Dogs,"Action,Drama,Thriller",Action,"['Drama', 'Thriller']",9,2011,mid,25000000,10324441,929380,11253821,-13746179,45.015284
Megamind,"Action,Animation,Comedy",Action,"['Animation', 'Comedy']",11,2010,high,130000000,148415853,173471355,321887208,191887208,247.6055446153846
The Young Messiah,"Drama,Fantasy",Drama,['Fantasy'],3,2016,mid,16800000,6469813,843884,7313697,-9486303,43.53391071428571
The Iron Lady,"Biography,Drama",Biography,['Drama'],1,2012,mid,14000000,29959436,85632668,115592104,101592104,825.6578857142857
Knight and Day,"Action,Adventure,Comedy",Action,"['Adventure', 'Comedy']",6,2010,high,117000000,76423035,182328335,258751370,141751370,221.15501709401707
Dylan Dog: Dead of Night,"Action,Comedy,Crime",Action,"['Comedy', 'Crime']",4,2011,mid,20000000,1186538,4907187,6093725,-13906275,30.468625
Child 44,"Crime,Drama,History",Crime,"['Drama', 'History']",4,2015,high,50000000,1224330,6779891,8004221,-41995779,16.008442000000002
The Sisterhood of Night,"Drama,Mystery,Thriller",Drama,"['Mystery', 'Thriller']",4,2015,low,1000000,6870,0,6870,-993130,0.687
Selma,"Biography,Drama,History",Biography,"['Drama', 'History']",1,2015,mid,20000000,52076908,14699668,66776576,46776576,333.88288
Centurion,"Action,Adventure,Drama",Action,"['Adventure', 'Drama']",8,2010,mid,15000000,123570,7761478,7885048,-7114952,52.56698666666667
Argo,"Biography,Drama,Thriller",Biography,"['Drama', 'Thriller']",10,2012,mid,44500000,136025503,91115254,227140757,182640757,510.42866741573033
Secretariat,"Biography,Drama,Family",Biography,"['Drama', 'Family']",10,2010,mid,35000000,59699513,676734,60376247,25376247,172.50356285714287
Poltergeist,"Horror,Thriller",Horror,['Thriller'],5,2015,mid,35000000,47425125,48287944,95713069,60713069,273.4659114285714
Hit & Run,"Action,Comedy",Action,['Comedy'],8,2012,mid,22000000,13749300,3467655,17216955,-4783045,78.25888636363636
The Warrior's Way,"Action,Fantasy,Western",Action,"['Fantasy', 'Western']",12,2010,mid,42000000,5666340,2847985,8514325,-33485675,20.272202380952383
Geroy,Action,Action,[],12,2015,mid,7000000,0,1545121,1545121,-5454879,22.07315714285714
Suspiria,"Fantasy,Horror,Mystery",Fantasy,"['Horror', 'Mystery']",10,2018,mid,20000000,2483472,4551143,7034615,-12965385,35.173075
The Book of Eli,"Action,Adventure,Drama",Action,"['Adventure', 'Drama']",1,2010,high,80000000,94835059,63915758,158750817,78750817,198.43852125
Legion,"Action,Fantasy,Horror",Action,"['Fantasy', 'Horror']",1,2010,mid,26000000,40168080,27479494,67647574,41647574,260.1829769230769
The Nutcracker in 3D,"Action,Family,Fantasy",Action,"['Family', 'Fantasy']",11,2010,high,90000000,195459,20270557,20466016,-69533984,22.740017777777776
The Legend of Hercules,"Action,Adventure,Fantasy",Action,"['Adventure', 'Fantasy']",1,2014,high,70000000,18848538,40104781,58953319,-11046681,84.21902714285714
Silver Linings Playbook,"Comedy,Drama,Romance",Comedy,"['Drama', 'Romance']",11,2012,mid,21000000,132092958,104319495,236412453,215412453,1125.7735857142857
Parental Guidance,"Comedy,Family",Comedy,['Family'],12,2012,mid,25000000,77267296,43565087,120832383,95832383,483.32953200000003
Goosebumps,"Adventure,Comedy,Family",Adventure,"['Comedy', 'Family']",10,2015,high,58000000,80069458,78835866,158905324,100905324,273.97469655172415
Repo Men,"Action,Crime,Sci-Fi",Action,"['Crime', 'Sci-Fi']",3,2010,mid,32000000,13942007,4253231,18195238,-13804762,56.86011875
The Big Year,Comedy,Comedy,[],10,2011,mid,41000000,7204138,480386,7684524,-33315476,18.74274146341463
Boyhood,Drama,Drama,[],7,2014,low,4000000,25379975,31893074,57273049,53273049,1431.826225
Water for Elephants,"Drama,Romance",Drama,['Romance'],4,2011,mid,38000000,58709717,58100000,116809717,78809717,307.3939921052632
Monte Carlo,"Adventure,Comedy,Family",Adventure,"['Comedy', 'Family']",7,2011,mid,20000000,23186769,16500000,39686769,19686769,198.43384500000002
Footloose,"Comedy,Drama,Music",Comedy,"['Drama', 'Music']",10,2011,mid,24000000,51802742,11187092,62989834,38989834,262.4576416666667
Ghost Rider: Spirit of Vengeance,"Action,Fantasy,Thriller",Action,"['Fantasy', 'Thriller']",2,2012,high,57000000,51774002,97443353,149217355,92217355,261.7848333333333
Winchester,"Biography,Drama,Fantasy",Biography,"['Drama', 'Fantasy']",2,2018,low,3500000,25091816,19286224,44378040,40878040,1267.944
Skyfall,"Action,Adventure,Thriller",Action,"['Adventure', 'Thriller']",11,2012,high,200000000,304360277,806166704,1110526981,910526981,555.2634905
Jonah Hex,"Action,Drama,Fantasy",Action,"['Drama', 'Fantasy']",6,2010,mid,47000000,10547117,475579,11022696,-35977304,23.452544680851066
Dark Shadows,"Comedy,Fantasy,Horror",Comedy,"['Fantasy', 'Horror']",5,2012,high,150000000,79727149,158475519,238202668,88202668,158.80177866666668
The Belko Experiment,"Horror,Thriller",Horror,['Thriller'],3,2017,mid,5000000,10166820,1626122,11792942,6792942,235.85884
Eddie the Eagle,"Biography,Comedy,Drama",Biography,"['Comedy', 'Drama']",2,2016,mid,23000000,15789389,29271091,45060480,22060480,195.9151304347826
Blended,"Comedy,Romance",Comedy,['Romance'],5,2014,mid,45000000,46290741,81700000,127990741,82990741,284.4238688888889
Lone Survivor,"Action,Biography,Drama",Action,"['Biography', 'Drama']",12,2013,mid,40000000,125095601,24709031,149804632,109804632,374.51158000000004
Ca$h,"Crime,Thriller",Crime,['Thriller'],3,2010,mid,7000000,46488,0,46488,-6953512,0.6641142857142857
Paddington,"Adventure,Comedy,Family",Adventure,"['Comedy', 'Family']",1,2015,high,55000000,76223578,182565519,258789097,203789097,470.52563090909086
Jackass 3D,"Action,Comedy,Documentary",Action,"['Comedy', 'Documentary']",10,2010,mid,20000000,117229692,54456101,171685793,151685793,858.4289650000001
Blue Valentine,"Drama,Romance",Drama,['Romance'],12,2010,low,1000000,9737892,6828348,16566240,15566240,1656.624
Seventh Son,"Action,Adventure,Fantasy",Action,"['Adventure', 'Fantasy']",2,2015,high,95000000,17725785,91149182,108874967,13874967,114.60522842105263
The Ides of March,"Drama,Thriller",Drama,['Thriller'],10,2011,mid,23000000,40962534,36773391,77735925,54735925,337.98228260869564
Free State of Jones,"Action,Biography,Drama",Action,"['Biography', 'Drama']",6,2016,high,50000000,20810036,2427216,23237252,-26762748,46.474504
Love Ranch,"Biography,Comedy,Drama",Biography,"['Comedy', 'Drama']",6,2010,mid,25000000,137885,8264,146149,-24853851,0.584596
Morning Glory,"Comedy,Drama,Romance",Comedy,"['Drama', 'Romance']",11,2010,mid,40000000,31011732,28783338,59795070,19795070,149.487675
Shutter Island,"Mystery,Thriller",Mystery,['Thriller'],2,2010,high,80000000,128012934,171448848,299461782,219461782,374.3272275
The 5th Quarter,"Biography,Drama,Sport",Biography,"['Drama', 'Sport']",3,2011,mid,6000000,408159,0,408159,-5591841,6.802650000000001
Green Lantern,"Action,Adventure,Sci-Fi",Action,"['Adventure', 'Sci-Fi']",6,2011,high,200000000,116601172,102934320,219535492,19535492,109.76774600000002
Takers,"Action,Crime,Thriller",Action,"['Crime', 'Thriller']",8,2010,mid,32000000,57744720,12842548,70587268,38587268,220.58521249999998
Death Wish,"Action,Crime,Drama",Action,"['Crime', 'Drama']",3,2018,mid,30000000,34017028,14558937,48575965,18575965,161.91988333333333
Accidental Love,"Comedy,Romance",Comedy,['Romance'],3,2015,mid,26000000,0,135436,135436,-25864564,0.5209076923076923
The Ghost Writer,"Drama,Mystery,Thriller",Drama,"['Mystery', 'Thriller']",2,2010,mid,45000000,15541549,49990942,65532491,20532491,145.6277577777778
Frankenweenie,"Animation,Comedy,Family",Animation,"['Comedy', 'Family']",10,2012,mid,39000000,35287788,45863000,81150788,42150788,208.07894358974357
Beastly,"Drama,Fantasy,Romance",Drama,"['Fantasy', 'Romance']",3,2011,mid,17000000,27865571,10162659,38028230,21028230,223.69547058823528
Freakonomics,Documentary,Documentary,[],10,2010,low,2900000,101270,71597,172867,-2727133,5.960931034482759
The Karate Kid,"Action,Drama,Family",Action,"['Drama', 'Family']",6,2010,mid,40000000,176591618,175183320,351774938,311774938,879.437345
The Rite,"Drama,Horror,Mystery",Drama,"['Horror', 'Mystery']",1,2011,mid,37000000,33047633,64096354,97143987,60143987,262.5513162162162
Biutiful,"Drama,Romance",Drama,['Romance'],1,2011,mid,35000000,5101237,19586287,24687524,-10312476,70.53578285714286
The Hobbit: The Desolation of Smaug,"Adventure,Fantasy",Adventure,['Fantasy'],12,2013,high,250000000,258366855,702000000,960366855,710366855,384.14674199999996
Baggage Claim,Comedy,Comedy,[],9,2013,mid,8500000,21569509,1316327,22885836,14385836,269.2451294117647
All Good Things,"Crime,Drama,Mystery",Crime,"['Drama', 'Mystery']",12,2010,mid,20000000,582024,291593,873617,-19126383,4.368085
A Walk in the Woods,"Adventure,Biography,Comedy",Adventure,"['Biography', 'Comedy']",9,2015,mid,8000000,29499394,7619964,37119358,29119358,463.99197499999997
A Nightmare on Elm Street,"Crime,Drama,Horror",Crime,"['Drama', 'Horror']",4,2010,mid,35000000,63075011,54654610,117729621,82729621,336.3703457142857
10 Cloverfield Lane,"Drama,Horror,Mystery",Drama,"['Horror', 'Mystery']",3,2016,mid,5000000,72082999,36203423,108286422,103286422,2165.7284400000003
You Will Meet a Tall Dark Stranger,"Comedy,Drama,Romance",Comedy,"['Drama', 'Romance']",9,2010,mid,15000000,3247816,31000000,34247816,19247816,228.31877333333335
Welcome to the Rileys,Drama,Drama,[],10,2010,mid,10000000,152857,203062,355919,-9644081,3.55919
The Lincoln Lawyer,"Crime,Drama,Thriller",Crime,"['Drama', 'Thriller']",3,2011,mid,40000000,58009200,29135886,87145086,47145086,217.862715
Rango,"Adventure,Animation,Comedy",Adventure,"['Animation', 'Comedy']",3,2011,high,135000000,123477607,122246993,245724600,110724600,182.01822222222222
Step Up 3D,"Drama,Music,Romance",Drama,"['Music', 'Romance']",8,2010,mid,30000000,42400223,123488894,165889117,135889117,552.9637233333333
The Bourne Legacy,"Action,Adventure,Thriller",Action,"['Adventure', 'Thriller']",8,2012,high,125000000,113203870,167152050,280355920,155355920,224.28473599999998
Casino Jack,"Biography,Comedy,Crime",Biography,"['Comedy', 'Crime']",12,2010,mid,12500000,2039869,232317,2272186,-10227814,18.177488
The Five-Year Engagement,"Comedy,Romance",Comedy,['Romance'],4,2012,mid,30000000,28700285,32923534,61623819,31623819,205.41273
Diary of a Wimpy Kid,"Comedy,Drama,Family",Comedy,"['Drama', 'Family']",3,2010,mid,15000000,64003625,12950686,76954311,61954311,513.02874
Kites,"Action,Drama,Romance",Action,"['Drama', 'Romance']",5,2010,mid,9200000,1685269,15469924,17155193,7955193,186.46948913043477
The Muppets,"Adventure,Comedy,Family",Adventure,"['Comedy', 'Family']",11,2011,mid,45000000,88625922,72346000,160971922,115971922,357.7153822222222
Last Vegas,"Comedy,Drama",Comedy,['Drama'],1,2013,mid,28000000,63914167,49000000,112914167,84914167,403.2648821428571
Ouija,"Horror,Mystery,Thriller",Horror,"['Mystery', 'Thriller']",10,2014,mid,5000000,50856010,52444622,103300632,98300632,2066.01264
Jack Ryan: Shadow Recruit,"Action,Drama,Thriller",Action,"['Drama', 'Thriller']",1,2014,high,60000000,50577412,80800000,131377412,71377412,218.9623533333333
Out of the Furnace,"Crime,Drama,Thriller",Crime,"['Drama', 'Thriller']",12,2013,mid,22000000,11330849,4103526,15434375,-6565625,70.15625
Blood Done Sign My Name,Drama,Drama,[],2,2010,mid,10000000,109383,0,109383,-9890617,1.09383
Moneyball,"Biography,Drama,Sport",Biography,"['Drama', 'Sport']",9,2011,high,50000000,75605492,35695343,111300835,61300835,222.60167
The Lone Ranger,"Action,Adventure,Western",Action,"['Adventure', 'Western']",7,2013,high,275000000,89302115,170700000,260002115,-14997885,94.54622363636364
Doctor Strange,"Action,Adventure,Fantasy",Action,"['Adventure', 'Fantasy']",11,2016,high,165000000,232641920,443762646,676404566,511404566,409.94216121212116
Middle of Nowhere,Drama,Drama,[],10,2012,low,200000,236806,0,236806,36806,118.40299999999999
Escape Plan,"Action,Crime,Mystery",Action,"['Crime', 'Mystery']",10,2013,high,70000000,25135965,78600000,103735965,33735965,148.19423571428572
Hereafter,"Drama,Fantasy,Romance",Drama,"['Fantasy', 'Romance']",10,2010,high,50000000,32746941,75913329,108660270,58660270,217.32054
The Lost City of Z,"Adventure,Biography,Drama",Adventure,"['Biography', 'Drama']",4,2017,mid,30000000,8574339,8547484,17121823,-12878177,57.07274333333333
The Back-up Plan,"Comedy,Romance",Comedy,['Romance'],4,2010,mid,35000000,37490007,37791172,75281179,40281179,215.08908285714287
The World's End,"Action,Comedy,Sci-Fi",Action,"['Comedy', 'Sci-Fi']",8,2013,mid,20000000,26004851,21503654,47508505,27508505,237.542525
Cars 2,"Adventure,Animation,Comedy",Adventure,"['Animation', 'Comedy']",6,2011,high,200000000,191450875,368704508,560155383,360155383,280.0776915
Kill the Messenger,"Biography,Crime,Drama",Biography,"['Crime', 'Drama']",10,2014,mid,5000000,2450846,4205859,6656705,1656705,133.13410000000002
Legend of the Guardians: The Owls of Ga'Hoole,"Action,Adventure,Animation",Action,"['Adventure', 'Animation']",9,2010,high,100000000,55675313,84041404,139716717,39716717,139.716717
Ghost in the Shell,"Action,Drama,Sci-Fi",Action,"['Drama', 'Sci-Fi']",3,2017,high,110000000,40563557,127347133,167910690,57910690,152.6460818181818
Resident Evil: Afterlife,"Action,Adventure,Horror",Action,"['Adventure', 'Horror']",9,2010,high,57500000,60128566,235745624,295874190,238374190,514.5638086956521
Zookeeper,"Comedy,Family,Romance",Comedy,"['Family', 'Romance']",7,2011,high,80000000,80360866,90444659,170805525,90805525,213.50690625
Viy,"Adventure,Fantasy,Mystery",Adventure,"['Fantasy', 'Mystery']",6,2015,mid,26000000,0,34246770,34246770,8246770,131.71834615384614
Get Him to the Greek,"Adventure,Comedy,Music",Adventure,"['Comedy', 'Music']",6,2010,mid,40000000,61153526,30302349,91455875,51455875,228.63968749999998
Edge of Darkness,"Crime,Drama,Mystery",Crime,"['Drama', 'Mystery']",1,2010,high,60000000,43313890,39498566,82812456,22812456,138.02076
Iron Man 2,"Action,Adventure,Sci-Fi",Action,"['Adventure', 'Sci-Fi']",5,2010,high,170000000,312433331,308723058,621156389,451156389,365.3861111764706
Anchorman 2: The Legend Continues,Comedy,Comedy,[],12,2013,high,50000000,127352707,44833047,172185754,122185754,344.371508
Same Kind of Different as Me,"Biography,Drama",Biography,['Drama'],10,2017,mid,6500000,6423605,0,6423605,-76395,98.8246923076923
Due Date,"Adventure,Comedy",Adventure,['Comedy'],11,2010,high,65000000,100539043,111200000,211739043,146739043,325.75237384615383
Hot Tub Time Machine,"Comedy,Sci-Fi",Comedy,['Sci-Fi'],3,2010,mid,36000000,50269859,15697891,65967750,29967750,183.24375
That's My Boy,Comedy,Comedy,[],6,2012,high,57500000,36931089,21154146,58085235,585235,101.01780000000001
21 Jump Street,"Action,Comedy,Crime",Action,"['Comedy', 'Crime']",3,2012,mid,42000000,138447667,64364762,202812429,160812429,482.88673571428575
Brighton Rock,"Crime,Drama,Thriller",Crime,"['Drama', 'Thriller']",8,2011,mid,11000000,229653,0,229653,-10770347,2.0877545454545454
Ironclad,"Action,Adventure,Drama",Action,"['Adventure', 'Drama']",7,2011,mid,25000000,0,5297411,5297411,-19702589,21.189643999999998
Red Dawn,"Action,Sci-Fi,Thriller",Action,"['Sci-Fi', 'Thriller']",11,2012,high,65000000,44806783,3357367,48164150,-16835850,74.0986923076923
RoboCop,"Action,Crime,Sci-Fi",Action,"['Crime', 'Sci-Fi']",2,2014,high,120000000,58607007,184374792,242981799,122981799,202.48483249999998
The Future,"Drama,Fantasy,Romance",Drama,"['Fantasy', 'Romance']",7,2011,low,1000000,568662,670512,1239174,239174,123.9174
Wild Target,"Action,Comedy,Crime",Action,"['Comedy', 'Crime']",10,2010,mid,8000000,109338,5204856,5314194,-2685806,66.427425
Broken City,"Crime,Drama,Thriller",Crime,"['Drama', 'Thriller']",1,2013,mid,35000000,19701164,14778881,34480045,-519955,98.5144142857143
Your Highness,"Adventure,Comedy,Fantasy",Adventure,"['Comedy', 'Fantasy']",4,2011,high,50000000,21596445,4525193,26121638,-23878362,52.24327600000001
Locker 13,Thriller,Thriller,[],3,2014,low,300000,3496,0,3496,-296504,1.1653333333333333
I Spit on Your Grave,"Horror,Thriller",Horror,['Thriller'],10,2010,low,1750000,93051,1185420,1278471,-471529,73.05548571428572
We Need to Talk About Kevin,"Drama,Mystery,Thriller",Drama,"['Mystery', 'Thriller']",1,2012,mid,7000000,1738692,9026591,10765283,3765283,153.78975714285716
The Tourist,"Action,Adventure,Thriller",Action,"['Adventure', 'Thriller']",12,2010,high,100000000,67631157,211100212,278731369,178731369,278.731369
Aloha,"Comedy,Drama,Romance",Comedy,"['Drama', 'Romance']",5,2015,mid,37000000,21052030,4335061,25387091,-11612909,68.61375945945946
Extraordinary Measures,Drama,Drama,[],1,2010,mid,31000000,12482741,3344243,15826984,-15173016,51.05478709677419
High School,Comedy,Comedy,[],6,2012,mid,10000000,139034,109099,248133,-9751867,2.48133
Kick-Ass,"Action,Comedy",Action,['Comedy'],4,2010,mid,28000000,48071303,49459831,97531134,69531134,348.32547857142856
Salvation Boulevard,"Action,Comedy,Drama",Action,"['Comedy', 'Drama']",7,2011,mid,5500000,28468,0,28468,-5471532,0.5176000000000001
300: Rise of an Empire,"Action,Fantasy,War",Action,"['Fantasy', 'War']",3,2014,high,110000000,106580051,224200000,330780051,220780051,300.7091372727273
Immortals,"Action,Drama,Fantasy",Action,"['Drama', 'Fantasy']",11,2011,high,75000000,83504017,128058418,211562435,136562435,282.0832466666667
Holmes & Watson,"Adventure,Comedy,Crime",Adventure,"['Comedy', 'Crime']",12,2018,mid,42000000,30568743,11357862,41926605,-73395,99.82525
Incendies,"Drama,Mystery,War",Drama,"['Mystery', 'War']",9,2010,mid,6800000,6857096,9181247,16038343,9238343,235.85798529411767
The Man with the Iron Fists,Action,Action,[],11,2012,mid,15000000,15634090,6384898,22018988,7018988,146.79325333333333
The Cabin in the Woods,Horror,Horror,[],4,2012,mid,30000000,42073277,28616691,70689968,40689968,235.63322666666667
Den of Thieves,"Action,Crime,Drama",Action,"['Crime', 'Drama']",1,2018,mid,30000000,44947622,35183769,80131391,50131391,267.1046366666667
Sex and the City 2,"Comedy,Drama,Romance",Comedy,"['Drama', 'Romance']",5,2010,high,95000000,95347692,199333086,294680778,199680778,310.1902926315789
Scream 4,"Horror,Mystery",Horror,['Mystery'],4,2011,mid,40000000,38180928,57808662,95989590,55989590,239.97397500000002
The Roommate,"Drama,Thriller",Drama,['Thriller'],2,2011,mid,16000000,37300107,15245600,52545707,36545707,328.41066875
A Very Harold & Kumar 3D Christmas,"Adventure,Comedy",Adventure,['Comedy'],11,2011,mid,20000000,35061031,1204714,36265745,16265745,181.328725
The Devil's Double,"Biography,Drama,Thriller",Biography,"['Drama', 'Thriller']",7,2011,mid,19100000,1361512,4604134,5965646,-13134354,31.23374869109948
Don't Be Afraid of the Dark,"Fantasy,Horror,Thriller",Fantasy,"['Horror', 'Thriller']",8,2011,mid,25000000,24046682,15079745,39126427,14126427,156.505708
X-Men: First Class,"Action,Adventure,Sci-Fi",Action,"['Adventure', 'Sci-Fi']",6,2011,high,160000000,146408305,209000000,355408305,195408305,222.13019062499998
2 Guns,"Action,Comedy,Crime",Action,"['Comedy', 'Crime']",8,2013,high,61000000,75612460,56880555,132493015,71493015,217.20166393442622
London Fields,"Crime,Mystery,Thriller",Crime,"['Mystery', 'Thriller']",10,2018,mid,8000000,252676,181056,433732,-7566268,5.42165
The Spy Next Door,"Action,Comedy,Family",Action,"['Comedy', 'Family']",1,2010,mid,28000000,24307106,22445752,46752858,18752858,166.97449285714285
Dying of the Light,"Drama,Thriller",Drama,['Thriller'],12,2014,mid,5000000,0,74639,74639,-4925361,1.49278
Looper,"Action,Crime,Drama",Action,"['Crime', 'Drama']",9,2012,mid,30000000,66486205,103980200,170466405,140466405,568.2213499999999
Madagascar 3: Europe's Most Wanted,"Adventure,Animation,Comedy",Adventure,"['Animation', 'Comedy']",6,2012,high,145000000,216391482,530529789,746921271,601921271,515.1181179310345
Date Night,"Comedy,Crime,Romance",Comedy,"['Crime', 'Romance']",4,2010,high,55000000,98711404,53557629,152269033,97269033,276.8527872727273
Fort McCoy,"Drama,History,War",Drama,"['History', 'War']",8,2014,low,3000000,78948,0,78948,-2921052,2.6315999999999997
Easy A,"Comedy,Drama,Romance",Comedy,"['Drama', 'Romance']",9,2010,mid,8000000,58401464,17799257,76200721,68200721,952.5090125
Bad Teacher,"Comedy,Romance",Comedy,['Romance'],6,2011,mid,19000000,100292856,115156141,215448997,196448997,1133.942089473684
The Strangers: Prey at Night,Horror,Horror,[],3,2018,mid,5000000,24431472,5528579,29960051,24960051,599.20102
The Social Network,"Biography,Drama",Biography,['Drama'],10,2010,mid,40000000,96962694,127959441,224922135,184922135,562.3053375
Cats & Dogs: The Revenge of Kitty Galore,"Action,Comedy,Family",Action,"['Comedy', 'Family']",7,2010,high,85000000,43585753,69440630,113026383,28026383,132.97221529411763
Evil Dead,"Fantasy,Horror,Thriller",Fantasy,"['Horror', 'Thriller']",4,2013,mid,17000000,54239856,43538500,97778356,80778356,575.1668
Ghostbusters,"Action,Comedy,Fantasy",Action,"['Comedy', 'Fantasy']",7,2016,high,144000000,128350574,100658084,229008658,85008658,159.03379027777777
N-Secure,"Crime,Drama,Thriller",Crime,"['Drama', 'Thriller']",10,2010,low,1600000,2595644,0,2595644,995644,162.22775000000001
Teenage Mutant Ninja Turtles,"Action,Adventure,Comedy",Action,"['Adventure', 'Comedy']",8,2014,high,125000000,191204754,293800000,485004754,360004754,388.0038032
xXx: Return of Xander Cage,"Action,Adventure,Thriller",Action,"['Adventure', 'Thriller']",1,2017,high,85000000,44898413,300134946,345033359,260033359,405.92159882352945
The Last Song,"Drama,Music,Romance",Drama,"['Music', 'Romance']",3,2010,mid,20000000,62950384,29728564,92678948,72678948,463.39474
The Watch,"Action,Comedy,Horror",Action,"['Comedy', 'Horror']",7,2012,high,55000000,34353000,32777045,67130045,12130045,122.05462727272727
Pirates of the Caribbean: On Stranger Tides,"Action,Adventure,Fantasy",Action,"['Adventure', 'Fantasy']",5,2011,high,410600000,241063875,804600000,1045663875,635063875,254.6672856794934
Iron Man 3,"Action,Adventure,Sci-Fi",Action,"['Adventure', 'Sci-Fi']",5,2013,high,200000000,408992272,806400000,1215392272,1015392272,607.696136
Kung Fu Panda 2,"Action,Adventure,Animation",Action,"['Adventure', 'Animation']",5,2011,high,150000000,165249063,499588484,664837547,514837547,443.22503133333333
Yogi Bear,"Adventure,Animation,Comedy",Adventure,"['Animation', 'Comedy']",12,2010,high,80000000,100246011,104528679,204774690,124774690,255.96836249999998
Standing Ovation,Musical,Musical,[],7,2010,mid,5600000,531806,0,531806,-5068194,9.496535714285715
Our Family Wedding,"Comedy,Romance",Comedy,['Romance'],3,2010,mid,14000000,20255281,1155265,21410546,7410546,152.93247142857143
Mars Needs Moms,"Adventure,Animation,Family",Adventure,"['Animation', 'Family']",3,2011,high,150000000,21392758,18157000,39549758,-110450242,26.366505333333336
