movie,genres,main_genre,subgenres,release_month,release_year,budget,production_budget,domestic_gross,foreign_gross,worldwide_gross,total_profit,ROI
Get Out,"Horror,Mystery,Thriller",Horror,"['Mystery', 'Thriller']",2,2017,mid,5000000,176040665,79327286,255367951,250367951,5107.35902
Sicario: Day of the Soldado,"Action,Crime,Drama",Action,"['Crime', 'Drama']",6,2018,mid,35000000,50065850,25819346,75885196,40885196,216.81484571428572
Safe Haven,Horror,Horror,[],2,2013,mid,28000000,71399120,22651831,94050951,66050951,335.8962535714286
The Favourite,"Biography,Drama,History",Biography,"['Drama', 'History']",11,2018,mid,15000000,34366783,59747146,94113929,79113929,627.4261933333333
Ant-Man and the Wasp,"Action,Adventure,Comedy",Action,"['Adventure', 'Comedy']",7,2018,high,130000000,216648740,406495920,623144660,493144660,479.3420461538462
The Three Stooges,Documentary,Documentary,[],4,2012,mid,30000000,44338224,9714025,54052249,24052249,180.17416333333333
The Secret Life of Pets 2,"Adventure,Animation,Comedy",Adventure,"['Animation', 'Comedy']",6,2019,high,80000000,63795655,49555841,113351496,33351496,141.68937
Peter Rabbit,"Adventure,Animation,Comedy",Adventure,"['Animation', 'Comedy']",2,2018,high,50000000,115234093,231902384,347136477,297136477,694.272954
The Eagle,Documentary,Documentary,[],2,2011,mid,25000000,19490041,19503507,38993548,13993548,155.974192
Paul,Drama,Drama,[],3,2011,mid,40000000,37412945,63749161,101162106,61162106,252.905265
Annabelle: Creation,"Horror,Mystery,Thriller",Horror,"['Mystery', 'Thriller']",8,2017,mid,15000000,102092201,203292664,305384865,290384865,2035.8990999999999
Mommy,Drama,Drama,[],1,2015,low,4900000,3498695,14037309,17536004,12636004,357.87763265306126
"Love, Simon","Comedy,Drama,Romance",Comedy,"['Drama', 'Romance']",3,2018,mid,10000000,40826341,24694292,65520633,55520633,655.20633
Weekend,Horror,Horror,[],9,2011,low,190000,484592,1092993,1577585,1387585,830.3078947368422
The Drop,Documentary,Documentary,[],9,2014,mid,12600000,10724389,8330145,19054534,6454534,151.22646031746032
